time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-04 00:00:00+00:00,4.0,3.0,20.0,1.0
2023-10-05 00:00:00+00:00,3.0,2.0,,
2023-10-06 00:00:00+00:00,3.0,2.0,5.0,3.0
2023-10-07 00:00:00+00:00,8.0,3.0,1.0,1.0
2023-10-08 00:00:00+00:00,3.0,2.0,,
2023-10-09 00:00:00+00:00,5.0,4.0,16.0,1.0
2023-10-10 00:00:00+00:00,5.0,3.0,43.0,2.0
2023-10-11 00:00:00+00:00,2.0,2.0,28.0,1.0
2023-10-12 00:00:00+00:00,5.0,3.0,,
2023-10-13 00:00:00+00:00,3.0,2.0,,
2023-10-14 00:00:00+00:00,17.0,3.0,,
2023-10-15 00:00:00+00:00,4.0,2.0,8.0,1.0
2023-10-16 00:00:00+00:00,10.0,6.0,47.0,1.0
2023-10-17 00:00:00+00:00,,,48.0,1.0
