time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-01 00:00:00+00:00,2.0,2.0,1,1
2024-02-02 00:00:00+00:00,2.0,2.0,16,3
2024-02-03 00:00:00+00:00,2.0,2.0,1,1
2024-02-04 00:00:00+00:00,2.0,2.0,1,1
2024-02-05 00:00:00+00:00,4.0,4.0,3,3
2024-02-06 00:00:00+00:00,2.0,2.0,42,3
2024-02-07 00:00:00+00:00,2.0,2.0,29,4
2024-02-08 00:00:00+00:00,2.0,2.0,39,3
2024-02-09 00:00:00+00:00,3.0,3.0,117,5
2024-02-10 00:00:00+00:00,2.0,2.0,42,2
2024-02-11 00:00:00+00:00,2.0,2.0,1,1
2024-02-12 00:00:00+00:00,3.0,3.0,9,4
2024-02-13 00:00:00+00:00,3.0,3.0,63,6
2024-02-14 00:00:00+00:00,,,3,2
