time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-04 00:00:00+00:00,2,2,1,1
2024-02-05 00:00:00+00:00,4,4,3,3
2024-02-06 00:00:00+00:00,2,2,42,3
2024-02-07 00:00:00+00:00,2,2,29,4
2024-02-08 00:00:00+00:00,2,2,39,3
2024-02-09 00:00:00+00:00,3,3,117,5
2024-02-10 00:00:00+00:00,2,2,42,2
2024-02-11 00:00:00+00:00,2,2,1,1
2024-02-12 00:00:00+00:00,3,3,9,4
2024-02-13 00:00:00+00:00,3,3,63,6
2024-02-14 00:00:00+00:00,2,2,3,2
2024-02-15 00:00:00+00:00,4,3,1,1
2024-02-16 00:00:00+00:00,2,2,21,3
